Contestant,Series,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9,Episode 10,Total
Frank Skinner,1,19,9,15,14,20,16,,,,,93
Josh Widdicombe,1,13,16,22,16,18,9,,,,,94
Roisin Conaty,1,7,21,9,9,14,8,,,,,68
Romesh Ranganathan,1,19,14,22,10,16,12,,,,,93
Tim Key,1,17,18,16,9,10,18,,,,,88
Doc Brown,2,9,18,21,18,12,,,,,,78
Joe Wilkinson,2,8,13,25,12,11,,,,,,69
Jon Richardson,2,18,25,17,17,13,,,,,,90
Katherine Ryan,2,17,19,30,15,13,,,,,,94
Richard Osman,2,20,15,27,5,19,,,,,,86
Al Murray,3,21,18,9,16,16,,,,,,80
Dave Gorman,3,13,17,21,17,13,,,,,,81
Paul Chowdhry,3,8,13,22,11,12,,,,,,66
Rob Beckett,3,15,21,19,15,17,,,,,,87
Sara Pascoe,3,16,16,17,14,9,,,,,,72
Hugh Dennis,4,13,17,15,17,21,13,20,13,,,129
Joe Lycett,4,17,13,19,18,18,14,20,16,,,135
Lolly Adefope,4,13,18,12,15,15,19,20,13,,,125
Mel Giedroyc,4,16,20,3,24,21,16,13,21,,,134
Noel Fielding,4,18,18,19,23,12,15,19,20,,,144
Aisling Bea,5,13,17,13,24,15,17,17,10,,,126
Bob Mortimer,5,18,16,17,21,14,18,18,15,,,138
Mark Watson,5,17,19,15,24,16,13,15,11,,,130
Nish Kumar,5,13,19,12,12,13,12,12,14,,,107
Sally Phillips,5,14,20,16,15,14,18,16,16,,,130
Bob Mortimer,CoC 1,11,13,,,,,,,,,24
Josh Widdicombe,CoC 1,19,18,,,,,,,,,37
Katherine Ryan,CoC 1,20,15,,,,,,,,,35
Noel Fielding,CoC 1,16,16,,,,,,,,,32
Rob Beckett,CoC 1,19,17,,,,,,,,,36
Alice Levine,6,18,13,6,23,16,15,14,13,18,16,152
Asim Chaudhry,6,8,13,19,18,19,17,15,16,12,22,159
Liza Tarbuck,6,17,19,22,20,25,20,17,17,14,10,181
Russell Howard,6,18,14,16,24,21,12,21,17,15,12,170
Tim Vine,6,11,14,15,21,26,23,20,16,16,13,175
James Acaster,7,11,16,18,17,20,19,15,16,14,19,165
Jessica Knappett,7,14,23,15,16,25,16,18,19,18,11,175
Kerry Godliman,7,20,23,17,16,17,17,14,16,21,15,176
Phil Wang,7,13,19,15,12,9,17,15,9,11,13,133
Rhod Gilbert,7,19,22,9,17,18,18,21,20,9,14,167
Iain Stirling,8,20,13,17,10,21,10,10,18,19,18,156
Joe Thomas,8,12,20,10,15,20,14,24,7,16,12,150
Lou Sanders,8,20,21,19,15,20,12,13,12,20,12,164
Paul Sinha,8,10,19,11,11,14,9,13,21,17,11,136
Sian Gibson,8,16,16,16,15,17,15,11,8,16,13,143
David Baddiel,9,14,10,17,12,12,10,14,10,19,10,128
Ed Gamble,9,16,19,17,16,14,19,17,20,17,12,167
Jo Brand,9,12,15,15,16,19,16,22,15,14,10,154
Katy Wix,9,12,18,23,11,16,13,24,15,17,9,158
Rose Matafeo,9,17,15,20,18,18,14,11,17,17,12,159
Daisy May Cooper,10,11,18,19,19,24,14,11,7,20,15,158
Johnny Vegas,10,10,15,17,17,15,19,16,12,9,9,139
Katherine Parkinson,10,6,19,7,15,20,10,13,12,6,10,118
Mawaan Rizwan,10,8,16,14,13,17,22,16,10,18,17,151
Richard Herring,10,12,19,15,13,26,12,9,18,21,17,162
John Hannah,NYT 1,10,,,,,,,,,,10
Krishnan Guru-Murthy,NYT 1,12,,,,,,,,,,12
Nicola Coughlan,NYT 1,10,,,,,,,,,,10
Rylan Clark-Neal,NYT 1,13,,,,,,,,,,13
Shirley Ballas,NYT 1,17,,,,,,,,,,17
Charlotte Richie,11,5,12,11,13,17,11,9,11,20,16,125
Jamali Maddix,11,7,13,11,21,15,17,12,16,13,12,137
Lee Mack,11,17,16,18,7,12,13,22,18,9,19,151
Mike Wozniak,11,17,21,13,6,14,17,14,17,18,17,154
Sarah Kendall,11,18,17,20,23,12,16,12,12,16,12,158
Alan Davies,12,15,16,14,21,14,14,16,21,11,19,161
Desiree Burch,12,16,16,21,15,8,17,17,9,21,21,161
Guz Khan,12,14,20,14,14,21,19,8,21,14,22,167
Morgana Robinson,12,17,17,18,13,17,17,14,19,18,18,168
Victoria Coren Mitchell,12,12,13,13,16,10,9,18,9,8,13,121
Adrian Chiles,NYT 2,22,,,,,,,,,,22
Claudia Winkleman,NYT 2,6,,,,,,,,,,6
Jonnie Peacock,NYT 2,15,,,,,,,,,,15
Lady Leshurr,NYT 2,12,,,,,,,,,,12
Sayeeda Warsi,NYT 2,13,,,,,,,,,,13
Ardal O'Hanlon,13,10,15,11,17,21,12,20,18,14,15,153
Bridget Christie,13,16,16,25,16,11,9,19,20,7,18,157
Chris Ramsey,13,23,18,13,17,11,15,19,14,19,21,170
Judi Love,13,10,14,16,16,11,11,24,10,17,13,142
Sophie Duker,13,18,13,16,16,13,15,28,19,13,22,173
Ed Gamble,CoC 2,11,,,,,,,,,,11
Kerry Godliman,CoC 2,12,,,,,,,,,,12
Liza Tarbuck,CoC 2,14,,,,,,,,,,14
Lou Sanders,CoC 2,12,,,,,,,,,,12
Richard Herring,CoC 2,17,,,,,,,,,,17
Dara Ó Briain,14,17,30,17,19,19,10,,,,,112
Fern Brady,14,17,14,14,15,19,6,,,,,85
John Kearns,14,11,10,20,12,23,13,,,,,89
Munya Chawawa,14,14,21,11,9,20,14,,,,,89
Sarah Millican,14,18,16,17,22,17,19,,,,,109
